I2C_SCL,GPIO18
I2C_SDA,GPIO19
LED_BLUE,GPIO15
SPI_MOSI,GPIO22
SPI_SCK,GPIO21
SPI_MISO,GPIO23
RGB_DATA,GPIO9
RGB_PWR,GPIO20
UART0_TX,GPIO16
UART0_RX,GPIO17
